1	Zadov – Churánov	Lipka	13,9	2,5	160	380
2	Lipka	Kubova Hut	9,1	2,5	270	130
3	Kubova Hut	Lenora	10,3	2	130	428
4	Lenora	Stožec	9,8	2,5	150	140
5	Stožec	Nová Pec	15,4	2	80	100
6	Nová Pec	Horní Planá	8	1	45	45
7	Horní Planá	Olšina	13	2,5	170	140
8	Olšina	Cerná v Pošumaví	6,4	2,5	130	121
9	Cerná v Pošumaví	Vresná	11,5	3,5	200	195
10	Vresná	Lipno nad Vltavou	10,7	1	50	49
11	Lipno nad Vltavou	Vyšší Brod	10,2	3,5	130	270
12	Vyšší Brod	Rožmberk	6,6	2,5	120	160
13	Rožmberk	Rožmitál na Šumave	8,4	3,5	250	140
14	Rožmitál na Šumave	Vežovatá Pláne	9,9	3,5	292	239
15	Vežovatá Pláne	Zlatá Koruna	11,9	3	120	360
16	Zlatá Koruna	Boršov	9,6	2,5	135	175
17	Boršov	Ceské Budejovice	10,7	1	20	60
18	Ceské Budejovice	Hluboká nad Vltavou	10	1	15	22
19	Hluboká nad Vltavou	Purkarec	11,4	2,5	150	150
20	Purkarec	Hnevkovice	10,3	1,5	140	150
21	Hnevkovice	Kolodeje nad Lužnicí	7,7	2	60	60
22	Kolodeje nad Lužnicí	Slabcice	13,8	3	210	130
23	Slabcice	Jetetice	9,6	2	157	155
24	Jetetice	Kvetov	9,4	2,5	162	165
25	Kvetov	Kostelec nad Vltavou	11,5	3,5	150	120
26	Kostelec nad Vltavou	Klucenice	9,2	4	140	160
27	Klucenice	Solenice	9	2	70	240
28	Solenice	Kamýk nad Vltavou	9,4	4	275	280
29	Kamýk nad Vltavou	Líchovy	9,9	2,5	160	85
30	Líchovy	Štola Josef	10,6	3,5	200	260
31	Štola Josef	Živohošt	10,1	4	260	280
32	Živohošt	Trebenice	12,6	4	320	320
33	Trebenice	Hradištko	8,4	5	245	250
34	Hradištko	Davle	5,6	1	50	125
35	Davle	Vrané nad Vltavou	8,2	3,5	190	160
36	Vrané nad Vltavou	Praha Braník	11,7	1	54	97
