1	Košice - ul. Hlavná	Družstevná pri Hornáde	10741,26	163,072	150,558	
2	Družstevná pri Hornáde	Ve¾ká Lodina	14601,54	278,46	245,044	
3	Ve¾ká Lodina	Ružín - priehrada	8664,46	213,3	145,41	
4	Ružín - priehrada	Margecany	11473,9	536,08	524,48	
5	Margecany	Kluknava	9471,86	211,08	187,66	
6	Kluknava	Spišské Vlachy	12798,23	216,06	186,47	
7	Spišské Vlachy	Spišské Podhradie	7173,27	87,63	44,86	
8	Spišské Podhradie	Levoèa	14859,14	361,94	214,3	
9	Levoèa	Vlkovce	10015,29	415,89	160,37	
10	Vlkovce	Levkovce	6749,48	125,9	182,57	
11	Levkovce	Ve¾ká Lomnica	8931,75	123,27	248,54	
12	Ve¾ká Lomnica	Tatranská Lomnica	8762,93	207,84	11,28	
13	Tatranská Lomnica	Tatranská Polianka	10182,87	278,7	136,17	
14	Tatranská Polianka	Štrbské Pleso	10274,46	400,35	129,24	
15	Štrbské Pleso	Podbanské 	11280,33	151,1	315,59	
16	Podbanské 	Pribylina	13393,99	53,48	373,71	
17	Pribylina	Jamník	10321,56	67,29	154,06	
18	Jamník	Liptovský Mikuláš	8929,51	45,62	167,86	
19	Liptovský Mikuláš	Liptovská Sielnica	10552,24	135,32	123,7	
20	Liptovská Sielnica	Huty	8674,2	381,29	195,46	
21	Huty	Chlebnice	9002,75	251,33	437,53	
22	Chlebnice	Oravský Podzámok	12015,05	115,34	193,4	
23	Oravský Podzámok	Dolný Kubín - Záskalie	10441	217,52	245,21	
24	Dolný Kubín - Záskalie	Párnica	10221,06	31,65	30,94	
25	Párnica	Zázrivá	10756,52	404,593	283,201	
26	Zázrivá	Terchová	10474,9	195,628	298,3	
27	Terchová	Krasòany	11608,88	106,13	229,55	
28	Krasòany	Teplièka nad Váhom	6946,04	76,51	102,14	
29	Teplièka nad Váhom	Turie	12143	114,61	59,48	
30	Turie	K¾aèe	10687,47	254,59	218,6	
31	K¾aèe	Faèkov	12302,03	161,45	62,83	
32	Faèkov	Èièmany - centrum	9964,4	359,72	248,86	
33	Èièmany - centrum	Košecké Rovné	11363,55	310,49	434	
34	Košecké Rovné	Košeca	14361,32	185,29	458,26	
35	Košeca	Príles - hrádza	12638,55	81,97	107,97	
36	Príles - hrádza	Trenèín - hrádza	12597,81	107,28	125,02	
37	Trenèín - hrádza	Biskupický kanál	11430,52	62,08	74,89	
38	Biskupický kanál	Nové Mesto nad Váhom	10876,67	37,26	46,72	
39	Nové Mesto nad Váhom	Èastkovce	9689,78	109,35	111,92	
40	Èastkovce	Vrbové	11615,21	92,85	94,05	
41	Vrbové	Dechtice	13154,7	219,28	217,5	
42	Dechtice	Boleráz - priehrada	12688,33	200,35	195,51	
43	Boleráz - priehrada	Do¾any	12896,2	229,67	169,51	
44	Do¾any	Modra - Tri kríže	12598,25	156,58	196,41	
45	Modra - Tri kríže	Slovenský Grob	12305,53	91,16	163,6	
46	Slovenský Grob	Ivánka pri Dunaji - Mohyla M.R.Štefánika	11617,15	16,82	19,55	
47	Ivánka pri Dunaji - Mohyla M.R.Štefánika	Bratislava - hrádza (Bufet Šimani)	9542,58	70,9	68,88	
48	Bratislava - hrádza (Bufet Šimani)	Bratislava - Hviezdoslavovo námestie	6258,43	0,98	0	
